"Hitro in enostavno obročno odplačevanje",
"Že od",
"Vaš mesečni obrok",
"Izračun obrokov",
"Želim čim nižji obrok",
"Odplačati želim čim prej",
"Želim si izbrati svoje obroke",
"Informativni znesek za plačilo",
"Leanpay omogoča hitro in enostavno obročno odplačevanje preko spleta. ",
"Za obročno plačilo v košarici izberi Leanpay. ",
"Informativni izračun ne vključuje stroškov ocene tveganja.",
"Preveri svoj limit",
"Več informacij",
"ali",
"obroki","obroki"
"from %1 %2 /mesec","od %1 %2 /mesec"
"/mesec","/mesec"
"mes.","mes."
"Calculate","Izračunaj"